"date" "administrativeAssistant" "applyForFoodStamps" "applyForMedicaid" "applyForMedicare" "badCreditScore" "cashAdvance" "cashAssistance" "cashier" "cheapApartment" "collectUnemploymentPay" "customerServiceJob" "daycareJob" "dhsOffice" "electricityBill" "eligibleForSocialSecurity" "fastFoodJob" "fileForBankruptcy" "fixMyCreditScore" "foodService" "foodStampOffice" "foodStamps" "forgiveLoans" "freeClinic" "freeHealthcare" "freeSchoolLunch" "getACashAdvance" "getALoanWithBadCredit" "getAPaydayLoan" "getOutOfDebt" "getRichQuick" "governmentBenefits" "governmentHousing" "helpWithRent" "homelessShelter" "housekeeping" "maximumUnemploymentBenefits" "paydayLoan" "payPerHour" "publicHousing" "rentAssistance" "reverseMortgage" "salesAssociateJob" "tanf" "tempJob" "temporaryJob" "temporaryWork" "tempWork" "unemploymentBenefits" "unemploymentCheck" "utilityBill" "welfareMoney" "welfareOffice" "welfareProgram" "whatCanYouBuyWithFoodStamps" "workForMinimumWage" "workInARestaurant" "workInCustomerService" "workInFastFood" "year" "month" "rate" "finalDate"
"1" "2004-01" 12.5 0 0 0 0 33.25 0 28.25 60.5 0 0 0 0 0 0 0 0 0 0 0 1 0 4 2.25 0 0 0 0 4.25 5.5 2.5 6 0 49 73.75 0 2.25 0 5.5 2 3.75 0 4.75 4.75 5.5 80.75 6.25 1 0.5 0 0 0.5 5.25 0 0 0 0 0 "2004" "01" 0.149030591445178 2004-01-01
"2" "2004-02" 12.8 0 0 0 0 32.8 0 26.8 62 0 0 0 0 0 0 0 9.6 0 0 0 0.6 0 4.4 2.2 0 0 0 0 3.4 5.2 3.4 7.4 0 43.4 70.2 0 1.8 0 6.2 0 3 0 7 5.4 5.2 62.6 6.4 1 0 8.2 0 1.2 8.4 0 0 0 0 0 "2004" "02" 0.144746779797901 2004-02-01
"3" "2004-03" 13.75 0 0 0 0 38.5 0 31 59 0 0 0 0 0 0 0 0 0 0 0 0.75 0 3.75 2.75 0 0 0 0 3 4.75 3.5 6.75 0 38.25 60.5 0 2.5 0 7 0 3.5 0 6.25 5.25 5.75 41.75 4.5 1 0 10.5 0 0.25 7.5 0 0 0 0 0 "2004" "03" 0.137735648251605 2004-03-01
"4" "2004-04" 21 0 0 0 0.5 39.25 0 33 68.25 0 31.25 0 0 0 0 0 11 0 0 0 0.75 0 4.25 3.25 0 0 0 0 3.75 5.75 3 6 0 34.5 69.25 0 3 0 5.25 0 4.25 0 7.75 3.75 6 63.5 6 0.75 0 43.5 0 1.5 7.25 0 0 0 0 0 "2004" "04" 0.137355011118488 2004-04-01
"5" "2004-05" 11.8 0 0 0 0.6 46.2 0 34.2 51 0 55.6 0 0 0 0 0 0 0 0 0 0.8 0 4.4 2.2 0 0 0 0 3.4 5.2 3 6.6 0 33 66.8 0 3.4 0 6 0 3.8 0 5.4 6.4 6.2 56.8 6 1 0 14 0 2 8 0 0 0 0 0 "2004" "05" 0.135931161475635 2004-05-01
"6" "2004-06" 13 0 0 0 0 54 0 32.5 61.25 0 27 0 0 0 0 0 10.75 0 0 0 1 0 4.75 2.5 0 0 0 0 4.25 6 2.75 7 0 30.25 66.5 0 3.75 0 6.25 1.25 5 0 5 7.75 7.25 77.25 6.75 1 0 12.75 0 2.5 1.25 0 0 0 0 0 "2004" "06" 0.134405144529076 2004-06-01
"7" "2004-07" 12 0 0 0 1 51.25 0 33.5 56.25 0 14.25 0 0 0 0 0 0 0 0 0 1 0 5.5 2.5 0 0 0 0 4.25 5.5 2.5 8 0 34.5 72.75 0 3.5 0 6.25 1.5 5.25 0 4.25 5.75 7 63.75 6.75 0.75 0 0 0 2.75 1.5 0 0 0 0 0 "2004" "07" 0.13858241296144 2004-07-01
"8" "2004-08" 11.4 0 0 0 2 57.2 0 34.2 61 0 50 1.6 0 0 0 0 34.4 0 0 0 1 0 4.8 2.8 0 0 0 0 4 5.6 2.2 6.4 0 33.2 60.8 0 3.6 0 6 4.2 4.4 0 4.4 5.4 5.8 58.2 5.4 0.6 0 0 0 2 5.2 0 0 0 0 0 "2004" "08" 0.136494128675458 2004-08-01
"9" "2004-09" 11.25 0 0 0 1 42.75 0 31.25 50 0 12.5 0 0.75 0 0 0 40 0 0 0 1 0 4.75 3.25 0 0 0 0 4.5 5 2 6 0 43.5 70.75 0 3.25 0 6 2 4.75 0 5 5 4.75 49.25 5.25 0.25 0 11.5 0 2.25 5.5 0 0 0 0 0 "2004" "09" 0.132860309733299 2004-09-01
"10" "2004-10" 12 0 0 0 0 44.8 0 28.8 57 0 0 0 0 13.8 0 0 7.2 0 0 0 1 0 4.6 3 0 0 0 0 3.4 4.6 3.4 5.8 0 39.8 67.2 0 3.4 0 6.6 2.4 4.4 0 5.6 4 4 45 4.6 0.2 0 29 0 2 5.8 0 0 0 0 0 "2004" "10" 0.134873641956545 2004-10-01
