WHFNWGT,RFPOV,TFTOTINC,GRGC,GHLFSAM,GVARSTR,RHCALYR,RHCALMN,SROTATON,SSUSEQ,SSUID
17145.0840,1124,3566,68,1,99,2006,11,2,1,019128000932
19400.8320,1125,3566,68,1,99,2006,12,2,1,019128000932
19209.8320,1129,3566,68,1,99,2007,1,2,1,019128000932
19381.2949,1135,3566,68,1,99,2007,2,2,1,019128000932
17145.0840,1124,3566,68,1,99,2006,11,2,1,019128000932
19400.8320,1125,3566,68,1,99,2006,12,2,1,019128000932
19209.8320,1129,3566,68,1,99,2007,1,2,1,019128000932
19381.2949,1135,3566,68,1,99,2007,2,2,1,019128000932
4282.7256,1124,4704,45,1,4,2006,11,2,2,019128038046
4524.2061,1125,4704,45,1,4,2006,12,2,2,019128038046
4474.0205,1129,4704,45,1,4,2007,1,2,2,019128038046
4451.9004,1135,4704,45,1,4,2007,2,2,2,019128038046
4282.7256,1124,4704,45,1,4,2006,11,2,2,019128038046
4524.2061,1125,4704,45,1,4,2006,12,2,2,019128038046
4474.0205,1129,4704,45,1,4,2007,1,2,2,019128038046
4451.9004,1135,4704,45,1,4,2007,2,2,2,019128038046
3692.9810,1124,1764,43,1,96,2006,11,2,3,019128358448
3670.8765,1125,1764,43,1,96,2006,12,2,3,019128358448
3669.1167,1129,1795,43,1,96,2007,1,2,3,019128358448
3559.9182,1135,1795,43,1,96,2007,2,2,3,019128358448
3692.9810,1124,1764,43,1,96,2006,11,2,3,019128358448
3670.8765,1125,1764,43,1,96,2006,12,2,3,019128358448
3669.1167,1129,1795,43,1,96,2007,1,2,3,019128358448
3559.9182,1135,1795,43,1,96,2007,2,2,3,019128358448
6200.0190,805,1428,62,1,83,2006,11,2,5,019133000276
5821.3936,806,1428,62,1,83,2006,12,2,5,019133000276
5551.5449,809,1434,62,1,83,2007,1,2,5,019133000276
5706.2549,813,1434,62,1,83,2007,2,2,5,019133000276
12463.9414,1313,6266,62,1,50,2006,11,2,6,019133398099
12502.5605,1315,6266,62,1,50,2006,12,2,6,019133398099
12657.0420,1319,6266,62,1,50,2007,1,2,6,019133398099
12683.2334,1326,6266,62,1,50,2007,2,2,6,019133398099
12463.9414,1313,6266,62,1,50,2006,11,2,6,019133398099
12502.5605,1315,6266,62,1,50,2006,12,2,6,019133398099
12657.0420,1319,6266,62,1,50,2007,1,2,6,019133398099
12683.2334,1326,6266,62,1,50,2007,2,2,6,019133398099
12463.9414,1313,6266,62,1,50,2006,11,2,6,019133398099
12502.5605,1315,6266,62,1,50,2006,12,2,6,019133398099
12657.0420,1319,6266,62,1,50,2007,1,2,6,019133398099
12683.2334,1326,6266,62,1,50,2007,2,2,6,019133398099
10266.7451,1124,2329,101,2,74,2006,11,2,7,019133451319
10387.0244,1125,3206,101,2,74,2006,12,2,7,019133451319
10519.9570,1129,2316,101,2,74,2007,1,2,7,019133451319
10713.2139,1135,2316,101,2,74,2007,2,2,7,019133451319
10266.7451,1124,2329,101,2,74,2006,11,2,7,019133451319
10387.0244,1125,3206,101,2,74,2006,12,2,7,019133451319
10519.9570,1129,2316,101,2,74,2007,1,2,7,019133451319
10713.2139,1135,2316,101,2,74,2007,2,2,7,019133451319
9651.2217,2003,6199,4,2,74,2006,11,2,8,019133451553
9813.1250,2006,6199,4,2,74,2006,12,2,8,019133451553
10016.1582,2012,6199,4,2,74,2007,1,2,8,019133451553
10155.4023,2023,6199,4,2,74,2007,2,2,8,019133451553
9651.2217,2003,6199,4,2,74,2006,11,2,8,019133451553
9813.1250,2006,6199,4,2,74,2006,12,2,8,019133451553
10016.1582,2012,6199,4,2,74,2007,1,2,8,019133451553
10155.4023,2023,6199,4,2,74,2007,2,2,8,019133451553
9651.2217,2003,6199,4,2,74,2006,11,2,8,019133451553
9813.1250,2006,6199,4,2,74,2006,12,2,8,019133451553
10016.1582,2012,6199,4,2,74,2007,1,2,8,019133451553
10155.4023,2023,6199,4,2,74,2007,2,2,8,019133451553
9651.2217,2003,6199,4,2,74,2006,11,2,8,019133451553
9813.1250,2006,6199,4,2,74,2006,12,2,8,019133451553
10016.1582,2012,6199,4,2,74,2007,1,2,8,019133451553
10155.4023,2023,6199,4,2,74,2007,2,2,8,019133451553
9651.2217,2003,6199,4,2,74,2006,11,2,8,019133451553
9813.1250,2006,6199,4,2,74,2006,12,2,8,019133451553
10016.1582,2012,6199,4,2,74,2007,1,2,8,019133451553
10155.4023,2023,6199,4,2,74,2007,2,2,8,019133451553
2596.9524,873,3040,8,2,74,2006,11,2,9,019133451655
2567.9587,875,2000,8,2,74,2006,12,2,9,019133451655
2613.9578,877,2000,8,2,74,2007,1,2,9,019133451655
2588.0857,882,2000,8,2,74,2007,2,2,9,019133451655
2596.9524,873,475,8,2,74,2006,11,2,9,019133451655
2567.9587,875,475,8,2,74,2006,12,2,9,019133451655
2613.9578,877,475,8,2,74,2007,1,2,9,019133451655
2588.0857,882,475,8,2,74,2007,2,2,9,019133451655
8620.7520,1702,5943,74,2,62,2006,11,2,10,019133451964
8522.6016,1705,5943,74,2,62,2006,12,2,10,019133451964
8229.2432,1710,5943,74,2,62,2007,1,2,10,019133451964
8578.7910,1719,5943,74,2,62,2007,2,2,10,019133451964
8620.7520,1702,5943,74,2,62,2006,11,2,10,019133451964
8522.6016,1705,5943,74,2,62,2006,12,2,10,019133451964
8229.2432,1710,5943,74,2,62,2007,1,2,10,019133451964
8578.7910,1719,5943,74,2,62,2007,2,2,10,019133451964
8620.7520,1702,5943,74,2,62,2006,11,2,10,019133451964
8522.6016,1705,5943,74,2,62,2006,12,2,10,019133451964
8229.2432,1710,5943,74,2,62,2007,1,2,10,019133451964
8578.7910,1719,5943,74,2,62,2007,2,2,10,019133451964
8620.7520,1702,5943,74,2,62,2006,11,2,10,019133451964
8522.6016,1705,5943,74,2,62,2006,12,2,10,019133451964
8229.2432,1710,5943,74,2,62,2007,1,2,10,019133451964
8578.7910,1719,5943,74,2,62,2007,2,2,10,019133451964
6122.0649,1351,3026,30,1,16,2006,11,2,11,019133651480
5802.7275,1353,1726,30,1,16,2006,12,2,11,019133651480
5526.8892,1357,1726,30,1,16,2007,1,2,11,019133651480
5295.3076,1364,2766,30,1,16,2007,2,2,11,019133651480
6122.0649,1351,3026,30,1,16,2006,11,2,11,019133651480
5802.7275,1353,1726,30,1,16,2006,12,2,11,019133651480
5526.8892,1357,1726,30,1,16,2007,1,2,11,019133651480
5295.3076,1364,2766,30,1,16,2007,2,2,11,019133651480
6122.0649,1351,3026,30,1,16,2006,11,2,11,019133651480
5802.7275,1353,1726,30,1,16,2006,12,2,11,019133651480
5526.8892,1357,1726,30,1,16,2007,1,2,11,019133651480
5295.3076,1364,2766,30,1,16,2007,2,2,11,019133651480
12722.5371,805,623,46,1,63,2006,11,2,12,019133651919
12680.1582,806,623,46,1,63,2006,12,2,12,019133651919
