WHFNWGT,TFTOTINC,RFPOV,SSUSEQ,SROTATON,RHCALMN,RHCALYR,GVARSTR,GHLFSAM,GRGC,SSUID
3074.2839,589,2487,14971,1,5,2008,110,1,82,462860651402
3106.2097,589,2512,14971,1,6,2008,110,1,82,462860651402
3072.5286,977,2525,14971,1,7,2008,110,1,82,462860651402
3011.1211,977,2515,14971,1,8,2008,110,1,82,462860651402
3074.2839,589,2487,14971,1,5,2008,110,1,82,462860651402
3106.2097,589,2512,14971,1,6,2008,110,1,82,462860651402
3072.5286,977,2525,14971,1,7,2008,110,1,82,462860651402
3011.1211,977,2515,14971,1,8,2008,110,1,82,462860651402
3074.2839,589,2487,14971,1,5,2008,110,1,82,462860651402
3106.2097,589,2512,14971,1,6,2008,110,1,82,462860651402
3072.5286,977,2525,14971,1,7,2008,110,1,82,462860651402
3011.1211,977,2515,14971,1,8,2008,110,1,82,462860651402
3074.2839,589,2487,14971,1,5,2008,110,1,82,462860651402
3106.2097,589,2512,14971,1,6,2008,110,1,82,462860651402
3072.5286,977,2525,14971,1,7,2008,110,1,82,462860651402
3011.1211,977,2515,14971,1,8,2008,110,1,82,462860651402
2912.9731,9750,1830,14972,1,5,2008,112,1,55,462860651497
2876.9771,9750,1848,14972,1,6,2008,112,1,55,462860651497
2888.2808,9750,1858,14972,1,7,2008,112,1,55,462860651497
2939.8826,9750,1851,14972,1,8,2008,112,1,55,462860651497
2912.9731,9750,1830,14972,1,5,2008,112,1,55,462860651497
2876.9771,9750,1848,14972,1,6,2008,112,1,55,462860651497
2888.2808,9750,1858,14972,1,7,2008,112,1,55,462860651497
2939.8826,9750,1851,14972,1,8,2008,112,1,55,462860651497
2912.9731,9750,1830,14972,1,5,2008,112,1,55,462860651497
2876.9771,9750,1848,14972,1,6,2008,112,1,55,462860651497
2888.2808,9750,1858,14972,1,7,2008,112,1,55,462860651497
2939.8826,9750,1851,14972,1,8,2008,112,1,55,462860651497
2912.9731,9750,1830,14972,1,5,2008,112,1,55,462860651497
2876.9771,9750,1848,14972,1,6,2008,112,1,55,462860651497
2888.2808,9750,1858,14972,1,7,2008,112,1,55,462860651497
2939.8826,9750,1851,14972,1,8,2008,112,1,55,462860651497
1712.8539,474,939,14973,1,5,2008,110,1,34,462860651759
1723.9807,474,948,14973,1,6,2008,110,1,34,462860651759
1685.2687,591,953,14973,1,7,2008,110,1,34,462860651759
1725.6619,474,949,14973,1,8,2008,110,1,34,462860651759
3039.1448,4690,939,14974,1,5,2008,23,1,90,462860667069
3059.3574,4690,948,14974,1,6,2008,23,1,90,462860667069
3006.9209,4690,953,14974,1,7,2008,23,1,90,462860667069
3064.7588,4690,949,14974,1,8,2008,23,1,90,462860667069
3221.9841,7142,1892,14975,1,5,2008,37,2,42,462860667344
3177.4412,7742,1880,14975,1,6,2008,37,2,42,462860667344
3131.9795,4742,1890,14975,1,7,2008,37,2,42,462860667344
3197.1663,12382,1882,14975,1,8,2008,37,2,42,462860667344
3221.9841,7142,1892,14975,1,5,2008,37,2,42,462860667344
3177.4412,7742,1880,14975,1,6,2008,37,2,42,462860667344
3131.9795,4742,1890,14975,1,7,2008,37,2,42,462860667344
3197.1663,12382,1882,14975,1,8,2008,37,2,42,462860667344
3221.9841,7142,1892,14975,1,5,2008,37,2,42,462860667344
3177.4412,7742,1880,14975,1,6,2008,37,2,42,462860667344
3131.9795,4742,1890,14975,1,7,2008,37,2,42,462860667344
3197.1663,12382,1882,14975,1,8,2008,37,2,42,462860667344
3221.9841,7142,1892,14975,1,5,2008,37,2,42,462860667344
3177.4412,7742,1880,14975,1,6,2008,37,2,42,462860667344
3131.9795,4742,1890,14975,1,7,2008,37,2,42,462860667344
3197.1663,12382,1882,14975,1,8,2008,37,2,42,462860667344
3053.8303,3976,1244,14976,1,5,2008,46,2,99,462860701531
3031.8884,3801,1256,14976,1,6,2008,46,2,99,462860701531
3015.2488,3976,1263,14976,1,7,2008,46,2,99,462860701531
3109.9590,3976,1258,14976,1,8,2008,46,2,99,462860701531
3053.8303,251,939,14976,1,5,2008,46,2,99,462860701531
3031.8884,251,948,14976,1,6,2008,46,2,99,462860701531
3015.2488,251,953,14976,1,7,2008,46,2,99,462860701531
3109.9590,251,949,14976,1,8,2008,46,2,99,462860701531
3053.8303,3976,1244,14976,1,5,2008,46,2,99,462860701531
3031.8884,3801,1256,14976,1,6,2008,46,2,99,462860701531
3015.2488,3976,1263,14976,1,7,2008,46,2,99,462860701531
3109.9590,3976,1258,14976,1,8,2008,46,2,99,462860701531
3194.0408,4547,1208,14977,1,5,2008,10,2,90,462860717086
3208.4482,8011,1220,14977,1,6,2008,10,2,90,462860717086
3216.6655,5413,1227,14977,1,7,2008,10,2,90,462860717086
3225.4656,5413,1222,14977,1,8,2008,10,2,90,462860717086
3194.0408,4547,1208,14977,1,5,2008,10,2,90,462860717086
3208.4482,8011,1220,14977,1,6,2008,10,2,90,462860717086
3216.6655,5413,1227,14977,1,7,2008,10,2,90,462860717086
3225.4656,5413,1222,14977,1,8,2008,10,2,90,462860717086
2625.3479,5920,2153,14978,1,5,2008,65,1,84,462860717334
2618.4128,4736,2175,14978,1,6,2008,65,1,84,462860717334
2624.7671,5920,2187,14978,1,7,2008,65,1,84,462860717334
2607.9553,6020,2178,14978,1,8,2008,65,1,84,462860717334
2625.3479,5920,2153,14978,1,5,2008,65,1,84,462860717334
2618.4128,4736,2175,14978,1,6,2008,65,1,84,462860717334
2624.7671,5920,2187,14978,1,7,2008,65,1,84,462860717334
2607.9553,6020,2178,14978,1,8,2008,65,1,84,462860717334
2625.3479,5920,2153,14978,1,5,2008,65,1,84,462860717334
2618.4128,4736,2175,14978,1,6,2008,65,1,84,462860717334
2624.7671,5920,2187,14978,1,7,2008,65,1,84,462860717334
2607.9553,6020,2178,14978,1,8,2008,65,1,84,462860717334
2625.3479,5920,2153,14978,1,5,2008,65,1,84,462860717334
2618.4128,4736,2175,14978,1,6,2008,65,1,84,462860717334
2624.7671,5920,2187,14978,1,7,2008,65,1,84,462860717334
2607.9553,6020,2178,14978,1,8,2008,65,1,84,462860717334
2625.3479,5920,2153,14978,1,5,2008,65,1,84,462860717334
2618.4128,4736,2175,14978,1,6,2008,65,1,84,462860717334
2624.7671,5920,2187,14978,1,7,2008,65,1,84,462860717334
2607.9553,6020,2178,14978,1,8,2008,65,1,84,462860717334
3393.3293,16363,1412,14979,1,5,2008,81,1,88,462860717506
3387.7490,16353,1426,14979,1,6,2008,81,1,88,462860717506
3369.9102,16358,1433,14979,1,7,2008,81,1,88,462860717506
3381.9260,16353,1428,14979,1,8,2008,81,1,88,462860717506
3393.3293,16363,1412,14979,1,5,2008,81,1,88,462860717506
3387.7490,16353,1426,14979,1,6,2008,81,1,88,462860717506
3369.9102,16358,1433,14979,1,7,2008,81,1,88,462860717506
3381.9260,16353,1428,14979,1,8,2008,81,1,88,462860717506
3393.3293,16363,1412,14979,1,5,2008,81,1,88,462860717506
3387.7490,16353,1426,14979,1,6,2008,81,1,88,462860717506
3369.9102,16358,1433,14979,1,7,2008,81,1,88,462860717506
3381.9260,16353,1428,14979,1,8,2008,81,1,88,462860717506
2521.0703,3573,1208,14980,1,5,2008,28,1,59,462860754584
2495.2393,3573,1220,14980,1,6,2008,28,1,59,462860754584
2677.0386,3785,1227,14980,1,7,2008,28,1,59,462860754584
2734.1467,3573,1222,14980,1,8,2008,28,1,59,462860754584
2521.0703,3573,1208,14980,1,5,2008,28,1,59,462860754584
2495.2393,3573,1220,14980,1,6,2008,28,1,59,462860754584
2677.0386,3785,1227,14980,1,7,2008,28,1,59,462860754584
2734.1467,3573,1222,14980,1,8,2008,28,1,59,462860754584
2647.2476,1682,865,14981,1,5,2008,28,1,56,462860754804
2686.8752,1686,874,14981,1,6,2008,28,1,56,462860754804
2725.3933,1679,879,14981,1,7,2008,28,1,56,462860754804
2725.2214,1686,875,14981,1,8,2008,28,1,56,462860754804
2788.1563,2478,1091,14982,1,5,2008,28,1,89,462860881138
2765.9092,2478,1102,14982,1,6,2008,28,1,89,462860881138
2752.9546,2478,1107,14982,1,7,2008,28,1,89,462860881138
2749.0979,2478,1103,14982,1,8,2008,28,1,89,462860881138
2788.1563,2478,1091,14982,1,5,2008,28,1,89,462860881138
2765.9092,2478,1102,14982,1,6,2008,28,1,89,462860881138
2752.9546,2478,1107,14982,1,7,2008,28,1,89,462860881138
2749.0979,2478,1103,14982,1,8,2008,28,1,89,462860881138
2632.1323,8673,1452,14983,1,5,2008,111,2,7,462860881778
2618.6255,8673,1467,14983,1,6,2008,111,2,7,462860881778
2622.2051,8673,1475,14983,1,7,2008,111,2,7,462860881778
2649.9097,8673,1469,14983,1,8,2008,111,2,7,462860881778
2632.1323,8673,1452,14983,1,5,2008,111,2,7,462860881778
2618.6255,8673,1467,14983,1,6,2008,111,2,7,462860881778
2622.2051,8673,1475,14983,1,7,2008,111,2,7,462860881778
2649.9097,8673,1469,14983,1,8,2008,111,2,7,462860881778
2632.1323,8673,1452,14983,1,5,2008,111,2,7,462860881778
2618.6255,8673,1467,14983,1,6,2008,111,2,7,462860881778
2622.2051,8673,1475,14983,1,7,2008,111,2,7,462860881778
2649.9097,8673,1469,14983,1,8,2008,111,2,7,462860881778
1969.5952,5763,1452,14984,1,5,2008,110,2,82,462860944298
1981.5359,5763,1467,14984,1,6,2008,110,2,82,462860944298
1966.1199,5763,1475,14984,1,7,2008,110,2,82,462860944298
1954.5310,5763,1469,14984,1,8,2008,110,2,82,462860944298
1969.5952,5763,1452,14984,1,5,2008,110,2,82,462860944298
1981.5359,5763,1467,14984,1,6,2008,110,2,82,462860944298
1966.1199,5763,1475,14984,1,7,2008,110,2,82,462860944298
1954.5310,5763,1469,14984,1,8,2008,110,2,82,462860944298
1969.5952,5763,1452,14984,1,5,2008,110,2,82,462860944298
1981.5359,5763,1467,14984,1,6,2008,110,2,82,462860944298
1966.1199,5763,1475,14984,1,7,2008,110,2,82,462860944298
1954.5310,5763,1469,14984,1,8,2008,110,2,82,462860944298
1821.8615,4675,1208,14985,1,5,2008,110,2,86,462860944311
1851.7961,4675,1220,14985,1,6,2008,110,2,86,462860944311
1851.5529,4675,1227,14985,1,7,2008,110,2,86,462860944311
1834.0334,4675,1222,14985,1,8,2008,110,2,86,462860944311
1821.8615,4675,1208,14985,1,5,2008,110,2,86,462860944311
1851.7961,4675,1220,14985,1,6,2008,110,2,86,462860944311
1851.5529,4675,1227,14985,1,7,2008,110,2,86,462860944311
1834.0334,4675,1222,14985,1,8,2008,110,2,86,462860944311
3286.2397,3764,1091,14986,1,5,2008,104,2,2,462860944840
4301.6396,3764,1102,14986,1,6,2008,104,2,2,462860944840
