GHLFSAM,GRGC,GVARSTR,RFPOV,RHCALMN,RHCALYR,SROTATON,SSUSEQ,TFTOTINC,WHFNWGT,SSUID
1,63,17,2602,1,2012,2,39155,3712,871.5554,952925422285
1,63,17,2599,10,2011,2,39155,3712,930.8068,952925422285
1,63,17,2597,11,2011,2,39155,3712,879.6815,952925422285
1,63,17,2591,12,2011,2,39155,3712,884.5768,952925422285
1,63,17,2602,1,2012,2,39155,3712,871.5554,952925422285
2,43,43,1263,10,2011,2,39365,1661,7169.0425,952925879285
2,43,43,1262,11,2011,2,39365,901,6881.2021,952925879285
2,43,43,1259,12,2011,2,39365,901,6883.3550,952925879285
2,43,43,1264,1,2012,2,39365,1661,7175.3320,952925879285
2,43,43,1263,10,2011,2,39365,1661,7169.0425,952925879285
2,43,43,1262,11,2011,2,39365,901,6881.2021,952925879285
2,43,43,1259,12,2011,2,39365,901,6883.3550,952925879285
2,43,43,1264,1,2012,2,39365,1661,7175.3320,952925879285
1,31,43,2307,10,2011,2,39366,7933,7202.2129,952925879366
1,31,43,2305,11,2011,2,39366,7933,7322.8232,952925879366
1,31,43,2300,12,2011,2,39366,4400,7102.3013,952925879366
1,31,43,2310,1,2012,2,39366,4500,7039.6294,952925879366
1,31,43,2307,10,2011,2,39366,7933,7202.2129,952925879366
1,31,43,2305,11,2011,2,39366,7933,7322.8232,952925879366
1,31,43,2300,12,2011,2,39366,4400,7102.3013,952925879366
1,31,43,2310,1,2012,2,39366,4500,7039.6294,952925879366
1,31,43,2307,10,2011,2,39366,7933,7202.2129,952925879366
1,31,43,2305,11,2011,2,39366,7933,7322.8232,952925879366
1,31,43,2300,12,2011,2,39366,4400,7102.3013,952925879366
1,31,43,2310,1,2012,2,39366,4500,7039.6294,952925879366
1,31,43,2307,10,2011,2,39366,7933,7202.2129,952925879366
1,31,43,2305,11,2011,2,39366,7933,7322.8232,952925879366
1,31,43,2300,12,2011,2,39366,4400,7102.3013,952925879366
1,31,43,2310,1,2012,2,39366,4500,7039.6294,952925879366
1,31,43,2307,10,2011,2,39366,7933,7202.2129,952925879366
1,31,43,2305,11,2011,2,39366,7933,7322.8232,952925879366
1,31,43,2300,12,2011,2,39366,4400,7102.3013,952925879366
1,31,43,2310,1,2012,2,39366,4500,7039.6294,952925879366
1,23,43,1263,10,2011,2,39335,8702,5658.1523,952925743285
1,23,43,1262,11,2011,2,39335,8790,5559.9033,952925743285
1,23,43,1259,12,2011,2,39335,8702,5445.1328,952925743285
1,23,43,1264,1,2012,2,39335,8702,5268.5166,952925743285
1,23,43,1263,10,2011,2,39335,8702,5658.1523,952925743285
1,23,43,1262,11,2011,2,39335,8790,5559.9033,952925743285
1,23,43,1259,12,2011,2,39335,8702,5445.1328,952925743285
1,23,43,1264,1,2012,2,39335,8702,5268.5166,952925743285
2,19,43,1518,10,2011,2,39334,7917,3565.7900,952925743179
2,19,43,1517,11,2011,2,39334,7917,3540.1550,952925743179
2,19,43,1513,12,2011,2,39334,7917,3618.2285,952925743179
2,19,43,1520,1,2012,2,39334,16250,3461.2170,952925743179
2,19,43,1518,10,2011,2,39334,7917,3565.7900,952925743179
2,19,43,1517,11,2011,2,39334,7917,3540.1550,952925743179
2,19,43,1513,12,2011,2,39334,7917,3618.2285,952925743179
2,19,43,1520,1,2012,2,39334,16250,3461.2170,952925743179
2,19,43,1518,10,2011,2,39334,7917,3565.7900,952925743179
2,19,43,1517,11,2011,2,39334,7917,3540.1550,952925743179
2,19,43,1513,12,2011,2,39334,7917,3618.2285,952925743179
2,19,43,1520,1,2012,2,39334,16250,3461.2170,952925743179
2,18,28,1263,10,2011,2,39338,1056,6695.3008,952925743960
2,18,28,1262,11,2011,2,39338,1056,6813.0527,952925743960
2,18,28,1259,12,2011,2,39338,1056,6837.3599,952925743960
2,18,28,1264,1,2012,2,39338,1056,6806.9170,952925743960
2,18,28,1263,10,2011,2,39338,1056,6695.3008,952925743960
2,18,28,1262,11,2011,2,39338,1056,6813.0527,952925743960
2,18,28,1259,12,2011,2,39338,1056,6837.3599,952925743960
2,18,28,1264,1,2012,2,39338,1056,6806.9170,952925743960
2,18,28,2307,10,2011,2,39338,1693,5966.7227,952925743960
2,18,28,2305,11,2011,2,39338,1693,5833.2217,952925743960
2,18,28,2300,12,2011,2,39338,1693,5938.6133,952925743960
2,18,28,2310,1,2012,2,39338,2460,7189.4014,952925743960
2,18,28,2307,10,2011,2,39338,1693,5966.7227,952925743960
2,18,28,2305,11,2011,2,39338,1693,5833.2217,952925743960
2,18,28,2300,12,2011,2,39338,1693,5938.6133,952925743960
2,18,28,2310,1,2012,2,39338,2460,7189.4014,952925743960
2,18,28,2307,10,2011,2,39338,1693,5966.7227,952925743960
2,18,28,2305,11,2011,2,39338,1693,5833.2217,952925743960
2,18,28,2300,12,2011,2,39338,1693,5938.6133,952925743960
2,18,28,2310,1,2012,2,39338,2460,7189.4014,952925743960
2,18,28,2307,10,2011,2,39338,1693,5966.7227,952925743960
2,18,28,2305,11,2011,2,39338,1693,5833.2217,952925743960
2,18,28,2300,12,2011,2,39338,1693,5938.6133,952925743960
2,18,28,2310,1,2012,2,39338,2460,7189.4014,952925743960
2,18,28,2307,10,2011,2,39338,1693,5966.7227,952925743960
2,18,28,2305,11,2011,2,39338,1693,5833.2217,952925743960
2,18,28,2300,12,2011,2,39338,1693,5938.6133,952925743960
2,18,28,2310,1,2012,2,39338,2460,7189.4014,952925743960
2,11,28,981,10,2011,2,39336,2300,7520.5269,952925743366
2,11,28,980,11,2011,2,39336,2300,7500.3647,952925743366
2,11,28,978,12,2011,2,39336,2300,7705.6963,952925743366
2,11,28,982,1,2012,2,39336,2300,7604.4844,952925743366
2,3,28,981,10,2011,2,39256,7597,5602.8960,952925651285
2,3,28,980,11,2011,2,39256,7539,5760.2217,952925651285
2,3,28,978,12,2011,2,39256,7539,5914.7944,952925651285
2,3,28,982,1,2012,2,39256,7539,5660.1465,952925651285
1,100,28,981,10,2011,2,39254,3200,4883.4512,952925651179
1,100,28,980,11,2011,2,39254,3200,4780.1255,952925651179
1,100,28,978,12,2011,2,39254,3200,4616.6968,952925651179
1,100,28,982,1,2012,2,39254,3200,4405.0093,952925651179
2,66,43,904,11,2011,3,23586,4832,5055.0459,644454398285
2,66,43,901,12,2011,3,23586,4832,5217.4692,644454398285
2,66,43,905,1,2012,3,23586,4832,5278.5479,644454398285
2,66,43,909,2,2012,3,23586,4832,5188.8862,644454398285
1,76,17,1262,11,2011,3,23844,3680,2753.1167,644925229960
1,76,17,1259,12,2011,3,23844,3680,2620.2900,644925229960
1,76,17,1264,1,2012,3,23844,3680,2769.8389,644925229960
1,76,17,1270,2,2012,3,23844,3680,2755.0056,644925229960
1,76,17,1262,11,2011,3,23844,3680,2753.1167,644925229960
1,76,17,1259,12,2011,3,23844,3680,2620.2900,644925229960
1,76,17,1264,1,2012,3,23844,3680,2769.8389,644925229960
1,76,17,1270,2,2012,3,23844,3680,2755.0056,644925229960
1,68,17,1262,11,2011,3,23845,1280,9157.6191,644925229999
1,68,17,1259,12,2011,3,23845,2576,9178.5791,644925229999
